"geoid10","pop","vap","obama","mccain","TotPop","BlackPop","HispPop","VAP_1","BlackVAP","HispVAP"
NA,2106,1555,645,161,2106,1358,109,1555,954,63
NA,859,656,365,33,859,646,48,656,492,34
NA,4364,3635,936,1317,4364,90,256,3635,76,184
NA,714,559,101,18,714,371,175,559,289,131
NA,2361,2020,560,718,2361,75,114,2020,59,83
NA,307,220,84,17,307,230,28,220,166,12
NA,3994,3170,933,838,3994,909,225,3170,639,155
NA,543,417,59,17,543,245,149,417,198,85
NA,455,419,63,69,455,15,22,419,14,17
NA,200,145,32,11,200,10,90,145,10,53
NA,3193,2300,690,377,3193,1628,302,2300,1062,212
NA,5549,4450,1171.45,1248.75,5549,640,311,4450,480,212
NA,5252,4112,802,1772,5252,47,258,4112,41,178
NA,9025,6883,1660,1836,9025,1083,654,6883,799,431
NA,1002,843,238,337,1002,21,48,843,18,38
NA,1665,1221,516,39,1665,1485,45,1221,1104,24
NA,4773,3754,1022,967,4773,826,390,3754,566,257
NA,4362,3137,613.67,575.79,4362,893,903,3137,559,572
NA,159,107,25.47,21.94,159,90,11,107,56,9
NA,2390,1881,447.72,385.68,2390,559,191,1881,400,131
NA,3894,3058,734,694,3894,913,264,3058,639,160
NA,711,593,141.15,121.59,711,30,28,593,18,22
NA,335,287,78.91,67.56,335,6,23,287,6,21
NA,847,648,178.16,152.54,847,137,53,648,85,31
NA,234,178,48.94,41.9,234,11,13,178,10,11
NA,1260,1063,251,353,1260,24,33,1063,20,24
NA,0,0,0,0,0,0,0,0,0,0
NA,214,176,50,75,214,0,22,176,0,16
NA,2241,1818,367,595,2241,62,81,1818,44,59
NA,0,0,0,0,0,0,0,0,0,0
NA,1848,1501,327,581,1848,94,75,1501,65,54
NA,950,712,129,103,950,72,57,712,55,25
NA,1866,1413,155.22,225.94,1866,235,164,1413,165,107
NA,1348,1250,310,379,1348,17,33,1250,12,24
NA,0,0,0,0,0,0,0,0,0,0
NA,239,182,47,34,239,23,13,182,14,10
NA,0,0,0,0,0,0,0,0,0,0
NA,5965,5183,512,387,5965,1470,359,5183,1340,318
NA,2964,2412,160,271,2964,213,216,2412,147,168
NA,6068,4836,531.24,773.27,6068,317,473,4836,247,306
NA,26,19,2.09,3.04,26,9,2,19,6,2
NA,0,0,0,0,0,0,0,0,0,0
NA,819,707,197,298,819,30,38,707,30,27
NA,2066,1427,12,33,2066,247,231,1427,164,133
NA,3272,2688,886,1352,3272,77,227,2688,68,153
NA,2930,2230,565,767,2930,174,312,2230,131,223
NA,5305,4332,423,1114,5305,259,441,4332,164,294
NA,4144,3393,605,1130,4144,78,221,3393,66,138
NA,3113,2591,662,1213,3113,77,169,2591,63,116
NA,2079,1384,0,22,2079,115,257,1384,80,152
NA,1950,1535,420,403,1950,207,192,1535,153,120
NA,2983,2425,614,760,2983,40,176,2425,30,130
NA,4029,3260,861,921,4029,217,286,3260,158,191
NA,2801,2313,394,521,2801,34,106,2313,29,74
